sequence_id,active_region,sequence_name,sequence_path,num_images,last_image_path,label_index,label_name,label_status
11459/2012_04_20_20_14_01_1,11459,2012_04_20_20_14_01_1,data\raw\SDOBenchmark_full\training\11459\2012_04_20_20_14_01_1,40,data\raw\SDOBenchmark_full\training\11459\2012_04_20_20_14_01_1\2012-04-21T200400__1700.jpg,1,QUIET,resolved
11543/2012_08_19_23_31_43_0,11543,2012_08_19_23_31_43_0,data\raw\SDOBenchmark_full\training\11543\2012_08_19_23_31_43_0,40,data\raw\SDOBenchmark_full\training\11543\2012_08_19_23_31_43_0\2012-08-19T232143__1700.jpg,1,QUIET,resolved
11861/2013_10_13_09_19_00_0,11861,2013_10_13_09_19_00_0,data\raw\SDOBenchmark_full\training\11861\2013_10_13_09_19_00_0,40,data\raw\SDOBenchmark_full\training\11861\2013_10_13_09_19_00_0\2013-10-13T090900__1700.jpg,1,QUIET,resolved
11591/2012_10_14_18_59_00_0,11591,2012_10_14_18_59_00_0,data\raw\SDOBenchmark_full\training\11591\2012_10_14_18_59_00_0,40,data\raw\SDOBenchmark_full\training\11591\2012_10_14_18_59_00_0\2012-10-14T184900__1700.jpg,1,QUIET,resolved
12103/2014_07_03_04_24_00_2,12103,2014_07_03_04_24_00_2,data\raw\SDOBenchmark_full\training\12103\2014_07_03_04_24_00_2,40,data\raw\SDOBenchmark_full\training\12103\2014_07_03_04_24_00_2\2014-07-05T071232__1700.jpg,1,QUIET,resolved
12208/2014_11_13_06_02_01_1,12208,2014_11_13_06_02_01_1,data\raw\SDOBenchmark_full\training\12208\2014_11_13_06_02_01_1,40,data\raw\SDOBenchmark_full\training\12208\2014_11_13_06_02_01_1\2014-11-14T055200__1700.jpg,1,QUIET,resolved
12458/2015_11_28_06_10_01_1,12458,2015_11_28_06_10_01_1,data\raw\SDOBenchmark_full\training\12458\2015_11_28_06_10_01_1,40,data\raw\SDOBenchmark_full\training\12458\2015_11_28_06_10_01_1\2015-11-29T060000__1700.jpg,1,QUIET,resolved
12253/2015_01_03_09_50_00_0,12253,2015_01_03_09_50_00_0,data\raw\SDOBenchmark_full\training\12253\2015_01_03_09_50_00_0,40,data\raw\SDOBenchmark_full\training\12253\2015_01_03_09_50_00_0\2015-01-03T094000__1700.jpg,1,QUIET,resolved
12305/2015_03_29_15_47_01_0,12305,2015_03_29_15_47_01_0,data\raw\SDOBenchmark_full\training\12305\2015_03_29_15_47_01_0,40,data\raw\SDOBenchmark_full\training\12305\2015_03_29_15_47_01_0\2015-03-29T153701__1700.jpg,1,QUIET,resolved
11469/2012_05_05_22_40_00_0,11469,2012_05_05_22_40_00_0,data\raw\SDOBenchmark_full\training\11469\2012_05_05_22_40_00_0,40,data\raw\SDOBenchmark_full\training\11469\2012_05_05_22_40_00_0\2012-05-05T223000__1700.jpg,1,QUIET,resolved
11392/2012_01_04_12_38_01_1,11392,2012_01_04_12_38_01_1,data\raw\SDOBenchmark_full\training\11392\2012_01_04_12_38_01_1,40,data\raw\SDOBenchmark_full\training\11392\2012_01_04_12_38_01_1\2012-01-05T122800__1700.jpg,1,QUIET,resolved
11455/2012_04_16_11_29_01_0,11455,2012_04_16_11_29_01_0,data\raw\SDOBenchmark_full\training\11455\2012_04_16_11_29_01_0,40,data\raw\SDOBenchmark_full\training\11455\2012_04_16_11_29_01_0\2012-04-16T111901__1700.jpg,1,QUIET,resolved
11882/2013_10_26_11_27_08_0,11882,2013_10_26_11_27_08_0,data\raw\SDOBenchmark_full\training\11882\2013_10_26_11_27_08_0,40,data\raw\SDOBenchmark_full\training\11882\2013_10_26_11_27_08_0\2013-10-26T111708__1700.jpg,0,FLARE,resolved
11947/2014_01_07_12_00_00_0,11947,2014_01_07_12_00_00_0,data\raw\SDOBenchmark_full\training\11947\2014_01_07_12_00_00_0,40,data\raw\SDOBenchmark_full\training\11947\2014_01_07_12_00_00_0\2014-01-07T115000__1700.jpg,0,FLARE,resolved
12394/2015_08_02_23_34_00_0,12394,2015_08_02_23_34_00_0,data\raw\SDOBenchmark_full\training\12394\2015_08_02_23_34_00_0,40,data\raw\SDOBenchmark_full\training\12394\2015_08_02_23_34_00_0\2015-08-02T232400__1700.jpg,1,QUIET,resolved
12075/2014_05_24_12_00_00_2,12075,2014_05_24_12_00_00_2,data\raw\SDOBenchmark_full\training\12075\2014_05_24_12_00_00_2,40,data\raw\SDOBenchmark_full\training\12075\2014_05_24_12_00_00_2\2014-05-28T083159__1700.jpg,1,QUIET,resolved
12057/2014_05_15_13_12_00_0,12057,2014_05_15_13_12_00_0,data\raw\SDOBenchmark_full\training\12057\2014_05_15_13_12_00_0,40,data\raw\SDOBenchmark_full\training\12057\2014_05_15_13_12_00_0\2014-05-15T130200__1700.jpg,1,QUIET,resolved
12349/2015_05_22_13_43_01_1,12349,2015_05_22_13_43_01_1,data\raw\SDOBenchmark_full\training\12349\2015_05_22_13_43_01_1,40,data\raw\SDOBenchmark_full\training\12349\2015_05_22_13_43_01_1\2015-05-23T133300__1700.jpg,1,QUIET,resolved
11978/2014_02_12_12_00_00_1,11978,2014_02_12_12_00_00_1,data\raw\SDOBenchmark_full\training\11978\2014_02_12_12_00_00_1,40,data\raw\SDOBenchmark_full\training\11978\2014_02_12_12_00_00_1\2014-02-14T235000__1700.jpg,1,QUIET,resolved
12692/2017_12_23_06_30_50_1,12692,2017_12_23_06_30_50_1,data\raw\SDOBenchmark_full\training\12692\2017_12_23_06_30_50_1,40,data\raw\SDOBenchmark_full\training\12692\2017_12_23_06_30_50_1\2017-12-23T202600__1700.jpg,1,QUIET,resolved
11612/2012_11_18_19_37_00_0,11612,2012_11_18_19_37_00_0,data\raw\SDOBenchmark_full\training\11612\2012_11_18_19_37_00_0,40,data\raw\SDOBenchmark_full\training\11612\2012_11_18_19_37_00_0\2012-11-18T192700__1700.jpg,1,QUIET,resolved
12176/2014_09_30_03_51_00_5,12176,2014_09_30_03_51_00_5,data\raw\SDOBenchmark_full\training\12176\2014_09_30_03_51_00_5,40,data\raw\SDOBenchmark_full\training\12176\2014_09_30_03_51_00_5\2014-10-02T213016__1700.jpg,1,QUIET,resolved
12181/2014_10_05_15_49_01_0,12181,2014_10_05_15_49_01_0,data\raw\SDOBenchmark_full\training\12181\2014_10_05_15_49_01_0,40,data\raw\SDOBenchmark_full\training\12181\2014_10_05_15_49_01_0\2014-10-05T153901__1700.jpg,1,QUIET,resolved
12325/2015_04_24_22_05_00_0,12325,2015_04_24_22_05_00_0,data\raw\SDOBenchmark_full\training\12325\2015_04_24_22_05_00_0,40,data\raw\SDOBenchmark_full\training\12325\2015_04_24_22_05_00_0\2015-04-24T215500__1700.jpg,1,QUIET,resolved
12461/2015_11_30_12_00_00_0,12461,2015_11_30_12_00_00_0,data\raw\SDOBenchmark_full\training\12461\2015_11_30_12_00_00_0,40,data\raw\SDOBenchmark_full\training\12461\2015_11_30_12_00_00_0\2015-11-30T115000__1700.jpg,1,QUIET,resolved
11676/2013_02_19_17_56_01_0,11676,2013_02_19_17_56_01_0,data\raw\SDOBenchmark_full\training\11676\2013_02_19_17_56_01_0,40,data\raw\SDOBenchmark_full\training\11676\2013_02_19_17_56_01_0\2013-02-19T174601__1700.jpg,1,QUIET,resolved
11682/2013_03_03_00_50_00_0,11682,2013_03_03_00_50_00_0,data\raw\SDOBenchmark_full\training\11682\2013_03_03_00_50_00_0,40,data\raw\SDOBenchmark_full\training\11682\2013_03_03_00_50_00_0\2013-03-03T004000__1700.jpg,1,QUIET,resolved
